scheme_name,category,gender,min_age,max_age,income_limit,caste,occupation,education,marital_status,district,benefit_amount,benefit_type,description
Free Ration Scheme (PDS),Old Age,Any,18,100,200000,Any,Any,Any,Any,Any,7200,In-Kind,Free rice and essential commodities through PDS
PMAY (Pradhan Mantri Awas Yojana),Housing,Any,21,65,300000,Any,Any,Any,Any,Any,120000,Subsidy,Housing subsidy for urban and rural poor
Tamil Nadu Housing Board Scheme,Housing,Any,21,65,400000,Any,Any,Any,Any,Any,200000,Loan/Subsidy,Affordable housing loans through TNHB
Amma Mini Clinic,Health,Any,0,100,300000,Any,Any,Any,Any,Any,10000,Free Service,Free primary healthcare at Amma Mini Clinics
Moovalur Ramamirtham Ammaiyar Higher Education Scheme,Health,Female,16,30,200000,Any,Student,Any,Any,Any,15000,Scholarship,Higher education scholarship for girls from poor families
MSME Subsidy Scheme,Self-employment,Any,21,50,500000,Any,Self-employed,Any,Any,Any,150000,Subsidy,Capital subsidy for micro and small enterprises
Micro Credit for Women SHGs,Self-employment,Female,18,60,200000,Any,Homemaker,Any,Any,Any,50000,Loan,Micro credit for women self-help groups
Anaithu Grama Anna Marumalarchi Thittam,Others,Any,0,100,200000,Any,Any,Any,Any,Any,50000,Infrastructure,Village development and amenity improvement scheme
Free Colour TV Scheme,Others,Any,21,100,150000,Any,Any,Any,Any,Any,8000,In-Kind,Free colour television for eligible households
Amma Canteen Scheme,Others,Any,18,100,300000,Any,Any,Any,Any,Any,3650,Subsidy,Subsidised meals at Rs.5–10 for workers and daily-wage earners
Chief Minister's Green Tamil Nadu Mission,Others,Any,0,100,999999,Any,Any,Any,Any,Any,500,In-Kind,Free saplings and support for tree plantation drives
